gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	colon endothelial cell	colon macrophage	enterochromaffin-like cell	enterocyte of epithelium of large intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of colon	large intestine goblet cell	mast cell	mature NK T cell	monocyte	myeloid dendritic cell	myeloid leukocyte	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	paneth cell of colon	plasma cell	regulatory T cell	transit amplifying cell of colon	tuft cell of colon	type L enteroendocrine cell
MAGI1-IT1	0.0006	0.0161	0.0000	0.0000	0.0304	0.0001	0.0346	0.0162	0.0000	0.0000	0.0000	0.0000	0.0032	0.0333	0.0000	0.0000	0.0000	0.0000	0.0022	0.0000	0.0000	0.0000	0.0246	0.0000	0.0000	0.0194	0.0002	0.0203
ENSG00000272617	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
FAM131B-AS1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0040	0.0000	0.0000
AFAP1-AS1	0.0000	0.0065	0.0035	0.0037	0.0171	0.0000	0.0000	0.0024	0.0039	0.0064	0.0063	0.0000	0.0021	0.0139	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0019	0.0081	0.0076	0.0009	0.0000
ENSG00000272622	0.0018	0.0004	0.0022	0.0000	0.0000	0.0013	0.0425	0.0037	0.0149	0.0204	0.0048	0.0000	0.0002	0.0180	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0030	0.0000	0.0019	0.0000	0.0000
ENSG00000272625	0.0114	0.0000	0.0016	0.0000	0.0000	0.0378	0.0000	0.0010	0.0026	0.0040	0.0016	0.0000	0.0002	0.0005	0.0664	0.0092	0.8239	0.0492	0.0768	0.0000	0.0066	0.0000	0.0018	0.0012	0.0025	0.0010	0.0000	0.0000
ENSG00000272626	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0015	0.0023	0.0000	0.0000	0.0000	0.0036	0.0016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0001	0.0000
ENSG00000272627	0.0000	0.0009	0.0016	0.0020	0.0000	0.0043	0.0000	0.0038	0.0000	0.0017	0.0018	0.0000	0.0014	0.0010	0.0000	0.0000	0.0000	0.0000	0.0016	0.0000	0.0000	0.0000	0.0040	0.0009	0.0000	0.0000	0.0000	0.0000
ENSG00000272630	0.0036	0.0029	0.0039	0.0011	0.0043	0.0175	0.0358	0.0040	0.0015	0.0087	0.0024	0.0000	0.0039	0.0133	0.0221	0.0000	0.0000	0.0000	0.0098	0.0000	0.0000	0.0000	0.0009	0.0020	0.0000	0.0084	0.0000	0.0127
ENSG00000272631	0.0009	0.0075	0.0026	0.0015	0.0220	0.0043	0.0000	0.0146	0.0122	0.0391	0.0077	0.0000	0.0060	0.0219	0.0083	0.0476	0.0000	0.0000	0.0000	0.0705	0.0000	0.0000	0.0153	0.0012	0.0040	0.0139	0.0341	0.0127
ENSG00000272632	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OR51F5P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
DOC2B	0.0000	0.0037	0.0000	0.0000	0.7252	0.0034	0.0000	0.0011	0.0029	0.0065	0.0000	0.0000	0.0000	0.0052	0.0067	0.0000	0.0065	0.0000	0.0023	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0022	0.0000
ENSG00000272638	0.0008	0.0010	0.0008	0.0000	0.0000	0.0000	0.0000	0.0010	0.0017	0.0013	0.0006	0.0000	0.0010	0.0011	0.0000	0.0000	0.0000	0.0117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0025	0.0100	0.0000	0.0000
ENSG00000272642	0.0011	0.0013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0025	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0008	0.0000
GTF2IP20	0.0923	0.0819	0.0578	0.0634	0.0701	0.0669	0.2079	0.0855	0.1178	0.0786	0.0607	0.0716	0.0320	0.1337	0.0518	0.0794	0.0000	0.0370	0.0728	0.0209	0.1040	0.0000	0.0375	0.0769	0.0448	0.0865	0.4579	0.1165
ENSG00000272646	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0004	0.0000	0.0000	0.0001	0.0028	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0003	0.0000	0.0039	0.0169	0.0000
ENSG00000272647	0.0120	0.0068	0.0035	0.0039	0.0016	0.0149	0.0000	0.0014	0.0042	0.0086	0.0034	0.0000	0.0015	0.0116	0.0000	0.0000	0.0000	0.0000	0.0150	0.0000	0.0166	0.0000	0.0000	0.0041	0.0111	0.0094	0.0000	0.0099
JTB-DT	0.0006	0.0017	0.0013	0.0029	0.0050	0.0124	0.0000	0.0010	0.0034	0.0064	0.0018	0.0000	0.0040	0.0100	0.0136	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0031	0.0099	0.0000	0.0000
POLR2J4	0.0120	0.0316	0.0159	0.0245	0.0166	0.0108	0.0329	0.0251	0.0057	0.0128	0.0152	0.0000	0.0212	0.0234	0.0184	0.0478	0.0078	0.0484	0.0015	0.0364	0.0000	0.0000	0.0151	0.0046	0.0130	0.0265	0.0183	0.0007
ENSG00000272656	0.0028	0.0009	0.0004	0.0002	0.0000	0.0037	0.0000	0.0003	0.0038	0.0007	0.0000	0.0000	0.0018	0.0012	0.0097	0.0000	0.0000	0.0146	0.0068	0.0000	0.0108	0.0000	0.0000	0.0025	0.0079	0.0000	0.0000	0.0000
ENSG00000272660	0.0000	0.0024	0.0002	0.0000	0.0000	0.0000	0.0000	0.0020	0.0000	0.0000	0.0008	0.0000	0.0019	0.0010	0.0000	0.0086	0.0000	0.0000	0.0000	0.0000	0.0052	0.0000	0.0013	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000272661	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TIMMDC1-DT	0.0005	0.0035	0.0020	0.0024	0.0017	0.0000	0.0000	0.0036	0.0000	0.0000	0.0057	0.0000	0.0020	0.0035	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0065	0.0000	0.0001	0.0039	0.0086	0.0048	0.0099	0.0000
PPP1R21-DT	0.0066	0.0021	0.0387	0.0495	0.0097	0.0117	0.2215	0.0077	0.0530	0.0087	0.0272	0.1480	0.0066	0.0168	0.0210	0.1060	0.0000	0.0000	0.0000	0.0000	0.0043	0.0000	0.0096	0.0104	0.0317	0.0229	0.0294	0.0000
OR51C4P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0026	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000
KLHDC7B-DT	0.0035	0.0000	0.0014	0.0028	0.0000	0.0036	0.0000	0.0011	0.0000	0.0008	0.0009	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	0.0000	0.0000	0.0000	0.0060	0.0000	0.0000	0.0000	0.0000
ENSG00000272667	0.0085	0.1027	0.0168	0.0320	0.0188	0.0130	0.1719	0.0996	0.0229	0.0416	0.0204	0.0000	0.0225	0.1134	0.0162	0.0000	0.0000	0.0329	0.0038	0.0328	0.0093	0.0000	0.0129	0.0093	0.0191	0.0335	0.0312	0.0000
ENSG00000272668	0.0010	0.0000	0.0045	0.0004	0.0052	0.0015	0.0000	0.0038	0.0036	0.0105	0.0023	0.0000	0.0016	0.0215	0.0080	0.0000	0.0000	0.0000	0.0063	0.0000	0.0000	0.0000	0.0000	0.0099	0.0163	0.0044	0.0002	0.0000
ENSG00000272669	0.0294	0.0384	0.0304	0.0202	0.0076	0.0193	0.0329	0.0240	0.0050	0.0075	0.0242	0.0000	0.0193	0.0652	0.0798	0.0000	0.1894	0.0787	0.0547	0.0811	0.0287	0.0000	0.0411	0.0528	0.0305	0.0207	0.0132	0.0000
ENSG00000272672	0.0000	0.0019	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0000	0.0000
PCDHB16	0.0000	0.0000	0.0000	0.0000	0.0384	0.0000	0.0000	0.0000	0.0711	0.0239	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0171	0.0000	0.0000	0.0000	0.0002	0.0000	0.0024	0.0000	0.0000
OR5AO1P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
HNRNPD-DT	0.0440	0.0690	0.0844	0.1105	0.0715	0.0646	0.0000	0.2065	0.1179	0.1255	0.0971	0.0000	0.0850	0.1520	0.0652	0.0782	0.0254	0.0238	0.0579	0.0000	0.0355	0.1308	0.0402	0.0376	0.0752	0.0926	0.1419	0.1266
ENSG00000272678	0.0010	0.0047	0.0000	0.0003	0.0044	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0238	0.0000	0.0000	0.0000	0.0027	0.0000	0.0000	0.0000	0.0000
ENSG00000272679	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0000	0.0005	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
FAM223B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000272682	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000
OR9I3P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
WASL-DT	0.0085	0.0345	0.0235	0.0171	0.0964	0.0267	0.1269	0.0912	0.0610	0.0662	0.0071	0.0000	0.1231	0.0619	0.0086	0.0963	0.0101	0.1309	0.0250	0.0991	0.0189	0.0000	0.0664	0.0156	0.0084	0.0603	0.0682	0.0427
ENSG00000272688	0.0280	0.0507	0.0114	0.0104	0.0292	0.0081	0.0467	0.0360	0.0241	0.0249	0.0117	0.0000	0.0455	0.0596	0.0733	0.0000	0.0138	0.0874	0.0106	0.0000	0.0285	0.1210	0.0068	0.0078	0.0133	0.0388	0.0354	0.0000
ENSG00000272689	0.0015	0.0000	0.0004	0.0027	0.0060	0.0000	0.0000	0.0055	0.0000	0.0010	0.0017	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0031	0.0008	0.0000	0.0000	0.0000	0.0000
LINC02018	0.0628	0.1374	0.0892	0.0520	0.0546	0.0175	0.2669	0.2858	0.3344	0.1011	0.0424	0.0000	0.1178	0.4483	0.1086	0.2377	0.0106	0.0364	0.0608	0.1181	0.1542	0.3165	0.0312	0.0433	0.0916	0.2084	0.4066	0.1794
ENSG00000272691	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0033	0.0000	0.0008	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0044	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000
ENSG00000272692	0.0000	0.0012	0.0000	0.0000	0.0000	0.0024	0.0000	0.0022	0.0012	0.0009	0.0000	0.0000	0.0002	0.0047	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0015	0.0000	0.0000	0.0000
NUPR2P1	0.2714	0.0701	0.2409	0.1759	0.1144	0.1226	0.1151	0.1345	0.2208	0.1993	0.2814	0.5707	0.0930	0.2252	0.1676	0.4326	0.0346	0.0910	0.1462	0.1021	0.3796	0.0000	0.0136	0.1547	0.2715	0.2005	0.2972	0.1722
ENSG00000272694	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
GAS6-DT	0.0012	0.0028	0.0000	0.0000	0.0701	0.0064	0.0000	0.0032	0.0000	0.0077	0.0035	0.0000	0.0031	0.0015	0.0000	0.0000	0.0000	0.0000	0.0064	0.0171	0.0000	0.0000	0.0032	0.0044	0.0046	0.0000	0.0001	0.0000
ENSG00000272696	0.0011	0.0013	0.0008	0.0020	0.0064	0.0000	0.0000	0.0004	0.0056	0.0027	0.0032	0.0000	0.0019	0.0018	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0058	0.0000	0.0000
ENSG00000272699	0.0019	0.0005	0.0017	0.0006	0.0000	0.0000	0.0000	0.0001	0.0141	0.0030	0.0000	0.0000	0.0002	0.0006	0.0000	0.0000	0.0000	0.0000	0.0036	0.0000	0.0066	0.0000	0.0037	0.0007	0.0000	0.0026	0.0000	0.0000
MESTIT1	0.0015	0.0039	0.0005	0.0012	0.0000	0.0000	0.0000	0.0124	0.0022	0.0003	0.0000	0.0000	0.0167	0.0065	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0062	0.0005	0.0000	0.0170	0.0000	0.0000
ENSG00000272702	0.0035	0.0048	0.0000	0.0014	0.0120	0.0000	0.0762	0.0055	0.0129	0.0176	0.0000	0.0000	0.0056	0.0112	0.0000	0.0000	0.0065	0.0000	0.0000	0.0000	0.0000	0.0000	0.0018	0.0027	0.0000	0.0050	0.0001	0.0000
ENSG00000272703	0.0000	0.0131	0.0000	0.0010	0.0000	0.0000	0.0000	0.0027	0.0000	0.0010	0.0000	0.0000	0.0005	0.0000	0.0028	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000272707	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0043	0.0007	0.0000	0.0000	0.0010	0.0016	0.0000	0.0000	0.0000	0.0000	0.0019	0.0000	0.0000	0.0000	0.0078	0.0001	0.0000	0.0008	0.0000	0.0000
ENSG00000272710	0.0024	0.0054	0.0000	0.0000	0.0101	0.0000	0.0195	0.0014	0.0040	0.0018	0.0007	0.0000	0.0044	0.0058	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0128	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0086
HK2-DT	0.0004	0.0156	0.0016	0.0000	0.0000	0.0037	0.0000	0.0204	0.0000	0.0034	0.0000	0.0000	0.0098	0.0152	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	0.0000	0.0000	0.0000	0.0018	0.0007	0.0039	0.0000	0.0000
ENSG00000272714	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000272715	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0012	0.0000	0.0022	0.0008	0.0000	0.0019	0.0021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0034	0.0070	0.0085	0.0000
SLC30A6-DT	0.0076	0.0177	0.0100	0.0105	0.0468	0.0014	0.0621	0.0394	0.0161	0.0165	0.0102	0.0000	0.0091	0.0419	0.0000	0.0118	0.0000	0.0000	0.0027	0.1803	0.0058	0.0000	0.0000	0.0068	0.0117	0.0440	0.0436	0.0086
ENSG00000272717	0.0019	0.0008	0.0095	0.0076	0.0047	0.0025	0.0000	0.0026	0.0000	0.0038	0.0036	0.0000	0.0006	0.0130	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	0.0000	0.0000	0.0000	0.0069	0.0029	0.0000	0.0104	0.0000
ENSG00000272719	0.0004	0.0499	0.0000	0.0010	0.0073	0.0079	0.0448	0.0734	0.0000	0.0111	0.0000	0.0000	0.0224	0.0414	0.0000	0.0000	0.0000	0.0000	0.0000	0.0144	0.0000	0.0000	0.0032	0.0005	0.0000	0.0493	0.0062	0.0000
ENSG00000272720	0.0012	0.0036	0.0000	0.0000	0.0150	0.0036	0.0153	0.0173	0.0520	0.0036	0.0009	0.0000	0.0018	0.0021	0.0046	0.0090	0.0000	0.0088	0.0094	0.0842	0.0000	0.0000	0.0516	0.0013	0.0000	0.0009	0.0000	0.0000
EIF2B5-DT	0.0025	0.0032	0.0015	0.0013	0.0209	0.0000	0.0000	0.0056	0.0000	0.0018	0.0000	0.0000	0.0015	0.0028	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0222	0.0000	0.0002	0.0016	0.0000	0.0253	0.0000	0.0000
LINC02266	0.0000	0.0005	0.0000	0.0000	0.0091	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0085	0.0001	0.0000	0.0000	0.0000	0.0000
ENSG00000272729	0.0000	0.0013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000272733	0.0000	0.0090	0.0011	0.0000	0.0013	0.0185	0.0000	0.0067	0.0018	0.0053	0.0008	0.0000	0.0054	0.0171	0.0000	0.0000	0.0000	0.0000	0.0013	0.0371	0.0062	0.0000	0.0000	0.0004	0.0000	0.0010	0.0000	0.0575
ADIRF-AS1	0.0088	0.0118	0.0047	0.0047	0.0511	0.0066	0.0000	0.0304	0.0732	0.0408	0.0084	0.0000	0.0147	0.0121	0.0184	0.0000	0.0455	0.0000	0.0410	0.1141	0.0000	0.0000	0.0230	0.0158	0.0071	0.0360	0.0664	0.0575
ENSG00000272735	0.0072	0.0180	0.0080	0.0107	0.0038	0.0000	0.0391	0.0203	0.0122	0.0071	0.0129	0.0000	0.0030	0.0269	0.0036	0.0000	0.0520	0.0000	0.0060	0.0000	0.0000	0.0000	0.0000	0.0075	0.0050	0.0016	0.0358	0.0243
ENSG00000272741	0.0000	0.0052	0.0000	0.0014	0.0000	0.0021	0.0000	0.0015	0.0012	0.0005	0.0008	0.0000	0.0009	0.0028	0.0000	0.0000	0.0000	0.0000	0.0021	0.0000	0.0000	0.0000	0.0000	0.0007	0.0039	0.0000	0.0000	0.0000
ENSG00000272742	0.0141	0.0006	0.0136	0.0127	0.0055	0.0000	0.0000	0.0030	0.0027	0.0031	0.0207	0.0000	0.0029	0.0070	0.0063	0.0889	0.0527	0.0146	0.0090	0.0000	0.0266	0.0855	0.0032	0.0076	0.0197	0.0000	0.0000	0.0000
ENSG00000272744	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0001	0.0000	0.0002	0.0000	0.0000	0.0006	0.0002	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	0.0000	0.0000	0.0000	0.0170
ENSG00000272745	0.0000	0.0000	0.0012	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0008	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014	0.0000	0.0000	0.0000	0.0000
ENSG00000272748	0.0000	0.0010	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000272750	0.0162	0.0000	0.0119	0.0139	0.0178	0.0109	0.0000	0.0012	0.0211	0.0118	0.0129	0.1480	0.0054	0.0019	0.0026	0.0000	0.0000	0.0000	0.0085	0.0363	0.0074	0.0000	0.0001	0.0076	0.0263	0.0000	0.0000	0.0000
STAG3L5P-PVRIG2P-PILRB	0.0000	0.0011	0.0005	0.0012	0.0026	0.0000	0.0000	0.0014	0.0034	0.0004	0.0010	0.0000	0.0026	0.0050	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0036	0.0003	0.0000	0.0000	0.0205	0.0000
ENSG00000272754	0.0119	0.0060	0.0097	0.0039	0.0110	0.0199	0.0391	0.0054	0.0032	0.0138	0.0063	0.0000	0.0014	0.0143	0.0108	0.0000	0.0738	0.0000	0.0309	0.0000	0.0066	0.0000	0.0056	0.0064	0.0324	0.0053	0.0284	0.0524
WDR5B-DT	0.2297	0.0382	0.1348	0.1282	0.0864	0.0922	0.3918	0.0627	0.0903	0.1811	0.1547	0.0000	0.0656	0.0787	0.1705	0.1702	0.0603	0.0389	0.0980	0.1215	0.1786	0.1821	0.0201	0.1398	0.1605	0.0696	0.1689	0.1906
ENSG00000272760	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000272762	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LINC03057	0.0057	0.1095	0.0208	0.0685	0.0052	0.0056	3.5270	0.6996	0.0013	0.0014	0.1067	0.0000	0.8197	1.4059	0.0187	0.0664	0.0258	0.0346	0.0000	0.0000	0.0282	0.1821	0.2197	0.0042	0.0099	1.2381	1.0977	1.7676
ENSG00000272764	0.0131	0.0008	0.0085	0.0076	0.0000	0.0009	0.0358	0.0029	0.0108	0.0038	0.0038	0.0000	0.0031	0.0075	0.0026	0.0000	0.0000	0.0000	0.0000	0.0000	0.0081	0.0000	0.0000	0.0050	0.0159	0.0000	0.0000	0.0000
JMJD1C-AS1	0.0044	0.0135	0.0007	0.0017	0.0217	0.0011	0.0000	0.0161	0.0193	0.0155	0.0000	0.0000	0.0055	0.0229	0.0021	0.0000	0.0000	0.0000	0.0095	0.0000	0.0000	0.0000	0.0117	0.0043	0.0034	0.0060	0.0000	0.0466
ENSG00000272768	0.0059	0.0214	0.0312	0.0318	0.0349	0.0355	0.0195	0.0211	0.0215	0.0258	0.0241	0.0000	0.0083	0.0314	0.0063	0.0185	0.0065	0.0337	0.0627	0.0000	0.0384	0.0000	0.0000	0.0192	0.0273	0.0218	0.0207	0.0000
ENSG00000272769	0.0000	0.0039	0.0000	0.0000	0.0065	0.0000	0.0000	0.0253	0.0053	0.0138	0.0000	0.0000	0.0076	0.0726	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0059	0.0009	0.0000	0.0610	0.0260	0.0385
ENSG00000272770	0.0040	0.0024	0.0011	0.0011	0.0000	0.0015	0.0000	0.0004	0.0021	0.0003	0.0019	0.0000	0.0011	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0027	0.0000	0.0000	0.0000
ENSG00000272772	0.0394	0.0449	0.0396	0.0328	0.0706	0.0289	0.0798	0.0307	0.0210	0.0871	0.0471	0.0000	0.0335	0.0358	0.0553	0.0922	0.0000	0.0488	0.0371	0.0000	0.0283	0.0000	0.0012	0.0310	0.0790	0.0569	0.0085	0.0119
ENSG00000272774	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0044	0.0229	0.0000
ENSG00000272777	0.0032	0.0009	0.0026	0.0019	0.0021	0.0044	0.0000	0.0016	0.0014	0.0044	0.0028	0.0000	0.0068	0.0002	0.0023	0.0000	0.0000	0.0000	0.0047	0.0189	0.0000	0.0000	0.0027	0.0012	0.0070	0.0019	0.0000	0.0000
BMS1P20	0.0221	0.0011	0.0265	0.0383	0.0136	0.0106	0.0000	0.0020	0.0048	0.0120	0.0212	0.0000	0.0071	0.0020	0.0408	0.0000	0.0000	0.0000	0.0000	0.0630	0.0055	0.0000	0.0276	0.0168	0.0076	0.0119	0.0000	0.0000
ENSG00000272783	0.0000	0.0000	0.0002	0.0000	0.0077	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0283	0.0000
ENSG00000272784	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000272787	0.0093	0.0023	0.0028	0.0031	0.0000	0.0023	0.0000	0.0088	0.0000	0.0026	0.0076	0.0000	0.0024	0.0016	0.0000	0.0000	0.0000	0.0000	0.0055	0.0000	0.0144	0.0000	0.0000	0.0023	0.0025	0.0075	0.0000	0.0000
