gene	tau	top_cell_state	top_expr	n_states
CLCA1	0.9824	large intestine goblet cell	11.1929	28
CLCA4	0.9564	enterocyte of epithelium of large intestine	5.3804	28
GLT8D1	0.6086	plasma cell	0.2678	28
ATP2C1	0.7417	myeloid leukocyte	3.0651	28
IGF1	0.9253	colon macrophage	1.9225	28
SLC38A5	0.8845	plasma cell	0.2322	28
RALBP1	0.4043	intestinal crypt stem cell of colon	1.1519	28
RUFY3	0.7871	fibroblast	3.1870	28
CNTN1	0.9669	enteroglial cell	0.3090	28
SLC11A1	0.9923	monocyte	8.4735	28
WWTR1	0.9577	colon endothelial cell	5.0561	28
AGPS	0.5446	tuft cell of colon	1.2319	28
ZNF285CP	0.9878	enteroglial cell	0.0131	28
STEEP1	0.6988	naive thymus-derived CD4-positive, alpha-beta T cell	0.2738	28
ATP1A2	0.9838	enteroglial cell	1.4978	28
TTC27	0.7248	naive thymus-derived CD4-positive, alpha-beta T cell	0.9025	28
ZNF582	0.7519	mast cell	0.0634	28
VSIG2	0.8596	large intestine goblet cell	1.2634	28
PHLDB1	0.8419	enteroglial cell	1.3548	28
MARCO	0.9441	monocyte	0.2214	28
CYP24A1	0.8599	B cell	0.0041	28
PRDM11	0.8271	innate lymphoid cell	0.5489	28
SYT13	0.9861	enterochromaffin-like cell	2.5436	28
SNAI2	0.9738	myofibroblast cell	1.4929	28
CD74	0.9178	myeloid dendritic cell	54.4535	28
HGF	0.9028	fibroblast	0.6034	28
ZRANB1	0.6346	innate lymphoid cell	1.4625	28
NCDN	0.7311	CD4-positive, alpha-beta T cell	0.1031	28
ADGRA2	0.9258	colon endothelial cell	0.3429	28
CCT8L1P	0.9410	enterocyte of epithelium of large intestine	0.0022	28
ZFP64	0.5862	enterochromaffin-like cell	0.2772	28
MNAT1	0.7474	gamma-delta T cell	2.2104	28
SAMD4A	0.8064	fibroblast	6.9837	28
RUNX3	0.8100	natural killer cell	6.2353	28
MRE11	0.5851	innate lymphoid cell	0.6107	28
PLEKHB1	0.9748	enteroglial cell	1.9487	28
SERPINB1	0.7839	monocyte	5.3062	28
CYP3A43	0.8936	enterochromaffin-like cell	0.0621	28
SLC7A9	0.8990	enteroglial cell	0.0201	28
SPAST	0.6265	gamma-delta T cell	0.8357	28
NRXN3	0.9861	enteroglial cell	24.1412	28
OSBPL5	0.7639	natural killer cell	0.4963	28
AQR	0.5825	innate lymphoid cell	1.2472	28
CPS1	0.7697	naive thymus-derived CD4-positive, alpha-beta T cell	0.0229	28
C8B	0.9316	large intestine goblet cell	0.0036	28
FHL1	0.9285	myofibroblast cell	5.3214	28
RTF2	0.5825	mast cell	1.3466	28
GABRA1	0.8491	regulatory T cell	0.0038	28
NLRP2	0.8889	natural killer cell	0.3212	28
SLC45A4	0.8013	myeloid leukocyte	1.8678	28
RNF10	0.4857	monocyte	1.7105	28
ZNF839	0.6445	naive thymus-derived CD4-positive, alpha-beta T cell	0.1599	28
ZDHHC6	0.6422	paneth cell of colon	0.6012	28
GRAMD1B	0.8616	innate lymphoid cell	4.6671	28
RNH1	0.6239	myofibroblast cell	1.6500	28
NDUFS1	0.6039	intestinal crypt stem cell of colon	1.1219	28
RB1CC1	0.5818	innate lymphoid cell	3.5789	28
ERP44	0.4091	innate lymphoid cell	1.4131	28
ALAS1	0.6248	type L enteroendocrine cell	0.7749	28
BIRC3	0.7983	mast cell	8.5354	28
AKAP11	0.6959	enterochromaffin-like cell	1.1577	28
GLRX2	0.5964	intestinal crypt stem cell of colon	0.2878	28
SNAPC1	0.8470	myeloid leukocyte	1.8226	28
DERA	0.5867	type L enteroendocrine cell	1.0931	28
STRAP	0.6652	myofibroblast cell	2.2919	28
ABCC2	0.7362	colon endothelial cell	0.0518	28
DEF6	0.6955	innate lymphoid cell	0.6552	28
PLEKHO1	0.8372	myofibroblast cell	2.4779	28
GCLM	0.7131	enteroglial cell	1.4619	28
UBR2	0.5444	gamma-delta T cell	2.9375	28
EHD2	0.9686	myofibroblast cell	1.8663	28
DEPDC1	0.9920	transit amplifying cell of colon	0.3939	28
CCDC28A	0.7908	natural killer cell	0.8675	28
RRAGD	0.8562	myeloid dendritic cell	0.6026	28
HSF2	0.7749	naive thymus-derived CD4-positive, alpha-beta T cell	0.6178	28
PHF20	0.7746	mast cell	15.0322	28
HSD17B6	0.8638	fibroblast	0.0295	28
NR1H3	0.7947	colon macrophage	0.4463	28
TYMP	0.7798	myeloid dendritic cell	1.8516	28
NCAPH2	0.4752	innate lymphoid cell	0.2651	28
TOMM34	0.7034	paneth cell of colon	0.4261	28
SEC63	0.4574	plasma cell	1.5139	28
KPNA6	0.5324	innate lymphoid cell	1.6034	28
VIM	0.6904	CD8-positive, alpha-beta T cell	37.8689	28
RTEL1-TNFRSF6B	0.9486	tuft cell of colon	0.0157	28
FAS	0.7958	CD8-positive, alpha-beta T cell	1.5960	28
RNASET2	0.7666	colon macrophage	3.1394	28
CD44	0.7722	monocyte	23.9291	28
KCNG1	0.8483	enteroglial cell	0.0316	28
AGPAT4	0.8506	natural killer cell	5.6208	28
SLAMF7	0.8874	plasma cell	2.5497	28
BTN3A1	0.8233	natural killer cell	0.7539	28
MIPEP	0.4744	naive thymus-derived CD4-positive, alpha-beta T cell	0.2590	28
PRKCH	0.8272	natural killer cell	17.3095	28
INSRR	0.9473	monocyte	0.0275	28
IFNGR1	0.6990	natural killer cell	3.2166	28
B4GALT7	0.7148	type L enteroendocrine cell	0.2309	28
SH2D2A	0.9259	natural killer cell	2.7513	28
VRK2	0.6088	monocyte	1.3866	28
TNFRSF1B	0.8831	monocyte	9.8813	28
VEZT	0.6171	innate lymphoid cell	2.3749	28
POU2F2	0.8827	B cell	2.5171	28
BRD9	0.6263	CD4-positive, alpha-beta T cell	1.1561	28
SNX1	0.4368	naive thymus-derived CD4-positive, alpha-beta T cell	1.2017	28
TBPL1	0.6655	colon endothelial cell	0.5167	28
BMAL2	0.9368	plasma cell	0.6879	28
BCLAF1	0.5190	innate lymphoid cell	2.9600	28
SLC39A9	0.3182	naive thymus-derived CD4-positive, alpha-beta T cell	0.4746	28
ANK1	0.9093	innate lymphoid cell	0.2605	28
IBSP	0.9917	enterocyte of epithelium of large intestine	0.0005	28
TFB1M	0.5587	tuft cell of colon	0.3605	28
RABEP1	0.5996	B cell	3.0767	28
HMGB3	0.8757	transit amplifying cell of colon	0.7915	28
NUP160	0.6384	naive thymus-derived CD4-positive, alpha-beta T cell	1.2672	28
BAK1	0.5561	intestinal crypt stem cell of colon	0.2502	28
MUSK	0.9859	fibroblast	2.3591	28
IKZF2	0.9418	gamma-delta T cell	8.7087	28
GRN	0.8791	colon macrophage	9.3104	28
FAM13B	0.4795	innate lymphoid cell	2.3569	28
ARHGAP31	0.8078	myeloid leukocyte	2.5332	28
CENPQ	0.7047	mature NK T cell	0.2596	28
SARS1	0.6116	myofibroblast cell	1.3620	28
RANBP3	0.5755	type L enteroendocrine cell	0.4421	28
