gene	tau	top_cell_state	top_expr	n_states
FCN3	0.9942	endothelial cell of artery	0.2476	21
CD164L2	0.7975	mesothelial cell	0.0016	21
GPR3	0.6038	vein endothelial cell	0.0191	21
WASF2	0.6049	endothelial cell of artery	2.9769	21
ENSG00000241169	0.9386	endothelial cell of artery	0.0023	21
ENSG00000237429	0.6988	hematopoietic cell	0.0245	21
AHDC1	0.4692	mesothelial cell	0.3571	21
FGR	0.9871	hematopoietic cell	0.5945	21
LINC02574	0.8846	hematopoietic cell	0.0032	21
IFI6	0.6182	fibroblast	0.4467	21
FAM76A	0.5612	interstitial cell of Cajal	0.2039	21
STX12	0.6919	endothelial cell of artery	0.8544	21
PPP1R8	0.2949	neural crest cell	0.4167	21
THEMIS2	0.9628	hematopoietic cell	0.7572	21
RPA2	0.5320	neural crest cell	0.8148	21
SMPDL3B	0.7141	stem cell	0.1724	21
ENSG00000227050	0.9055	enteroendocrine cell	0.0059	21
XKR8	0.5178	endothelial cell of artery	0.1990	21
EYA3	0.3751	endothelial cell of artery	0.2952	21
PTAFR	0.9926	hematopoietic cell	0.7527	21
DNAJC8	0.3611	interstitial cell of Cajal	1.7205	21
ATP5IF1	0.4549	epithelial cell	5.0393	21
ENSG00000270605	0.7147	stem cell	0.0791	21
ENSG00000271398	0.9622	hematopoietic cell	0.0023	21
SESN2	0.5950	enteroendocrine cell	0.1430	21
MED18	0.4194	endothelial cell of artery	0.0641	21
PHACTR4	0.3715	endothelial cell of artery	0.5353	21
RCC1	0.4036	progenitor cell	0.4382	21
TRNAU1AP	0.3548	endothelial cell of lymphatic vessel	0.3982	21
SNHG12	0.3959	epithelial cell	0.2602	21
TAF12	0.2633	hematopoietic cell	0.5134	21
RAB42	0.7532	hematopoietic cell	0.0594	21
TAF12-DT	0.6938	interstitial cell of Cajal	0.0030	21
ENSG00000270103	0.9227	hematopoietic cell	0.0235	21
GMEB1	0.4107	mesodermal cell	0.2147	21
YTHDF2	0.3785	enteric neuron	1.2494	21
OPRD1	0.9357	enteric neuron	0.0345	21
ENSG00000233427	0.9768	enteroendocrine cell	0.0102	21
EPB41	0.6965	erythroblast	0.6107	21
