gene	tau	top_cell_state	top_expr	n_states
BCLAF1	0.3923	endothelial cell of venule	2.2729	34
SLC39A9	0.7067	pericyte	1.1984	34
ANK1	0.8439	enteroendocrine cell of small intestine	0.0809	34
IBSP	0.9872	fibroblast	0.0033	34
TFB1M	0.6293	intestinal tuft cell	0.4245	34
RABEP1	0.7809	BEST4+ enterocyte	4.7547	34
HMGB3	0.8805	transit amplifying cell of small intestine	0.7450	34
NUP160	0.6128	regulatory T cell	1.2282	34
BAK1	0.5688	paneth cell of epithelium of small intestine	0.2780	34
MUSK	0.9911	fibroblast	2.2017	34
IKZF2	0.9584	regulatory T cell	7.3526	34
GRN	0.8788	macrophage	6.3258	34
FAM13B	0.5602	innate lymphoid cell	2.4699	34
ARHGAP31	0.9037	endothelial cell of venule	4.3726	34
CENPQ	0.7029	innate lymphoid cell	0.2627	34
SARS1	0.5491	enteroglial cell	1.2388	34
RANBP3	0.5602	transit amplifying cell of small intestine	0.4805	34
